postalCode,address,city,state,startHr,endHr,storeNumber
78382,2401 Highway 35 N,Rockport,TX,06:00,24:00,440
78363,1133 General Cavazos Blvd,Kingsville,TX,00:00,24:00,442
78861,109 22nd St,Hondo,TX,06:00,01:00,443
65807,3315 S Campbell Ave,Springfield,MO,00:00,24:00,444
42754,1801 Elizabethtown Rd,Leitchfield,KY,00:00,24:00,445
77864,1620 E Main St,Madisonville,TX,06:00,23:00,446
78840,2410 Dodson Ave,Del Rio,TX,00:00,24:00,447
71129,6235 W Port Ave,Shreveport,LA,06:00,24:00,448
77642,4999 N Twin City Hwy,Port Arthur,TX,06:00,24:00,449
71118,9550 Mansfield Rd,Shreveport,LA,00:00,24:00,450
65201,1201 Grindstone Pkwy,Columbia,MO,00:00,24:00,451
78504,2800 W Nolana Ave,Mcallen,TX,00:00,24:00,452
